Step	Lx	Ly	LAx	LAy	
0	30.003053410600042	29.844594008979108	101.4680201075968	103.97512011971723	
1	17.910254265463468	22.269157962116882	130.865573987439	137.85129589187554	
2	17.778842100542334	21.617009468900598	136.61148653704453	140.27824002532455	
3	19.437799406743164	22.36727328143636	135.0311800887318	164.09738728627624	
4	18.65236257468869	22.273410182275573	142.445701886014	159.92463822358926	
5	16.746869106727804	23.703478210691884	149.4490555892014	147.95712326421759	
6	17.43434772929598	21.22136119652347	136.92367981897993	164.44519201474031	
7	14.964406613294745	21.00124837093923	180.07524023294533	155.4123904685911	
8	16.85851508083498	24.220875125799775	168.43203788809024	145.10545345791826	
9	20.005179388906676	19.62118969163682	125.15193741372859	284.17440500623223	
10	16.405788632662038	22.096356218829253	151.94738023700745	148.02858548879667	
11	15.80352275125769	26.783709559967424	169.57420371246423	137.48549936821092	
12	17.418281765795633	21.08585313869946	160.24600236758437	185.5345154504348	
13	13.279348443974099	21.373111093726052	208.60190809631692	142.72210446092276	
14	17.401229739812287	18.146065861707285	133.39493688344356	241.0804445004854	
15	18.01297528439942	24.45825600952203	132.0762363216033	137.78722508243754	
16	17.318478694149245	21.205683563843706	163.3336573134145	180.20591661247218	
17	13.898242812971743	20.4913329797812	270.35323359848167	190.7861539019455	
18	16.966071135215255	22.25068550112922	162.23706655062927	186.29505992442296	
19	15.006365034659877	19.989560012449438	184.83055975808796	192.3979211582292	
20	14.992507425870503	25.2133984644417	149.14924596937865	153.12036438594006	
21	17.06384213760306	22.38610472707373	161.4619496425036	201.47221946244875	
22	15.555007160803735	21.740831594317587	198.9150141930921	186.8482188591596	
23	15.93339032749098	22.76040730027408	154.64707353893195	195.32942423477522	
24	18.314728130185983	24.359630895342246	177.1471463028089	139.39926208661342	
25	18.389318924323728	20.70706161078573	142.38503153925592	171.60872494515172	
26	17.205893579084098	23.07324235188753	160.2745959675253	157.1766155728301	
27	16.794489500772915	25.167089831198215	156.31421317403743	149.16539784047453	
28	17.19481356161321	21.656068365587767	174.69029382182129	213.90588358367614	
29	17.21385096156449	23.154785190226082	142.09826920033785	180.2315374953701	
30	17.77187454124042	22.35466762666869	167.01661220260982	167.37503826003905	
31	16.865712591947148	22.97015648683733	193.9301960998928	183.51853424586153	
32	14.736986795350735	20.21935701477882	197.30342640040075	208.99872138649224	
33	15.172799822255582	20.224595048749915	168.57694801778652	195.86677926515	
34	16.97902819025278	22.498944281879847	160.64740308529923	181.08694190088204	
35	15.805847967759048	20.651473426914016	283.1129281927393	166.3560831957688	
36	12.890358933512369	23.817371266078354	191.79460005978135	184.4847726707306	
37	18.512783573089504	22.308940824869328	143.53776108471357	192.8833889747602	
38	16.187743145701017	22.159470388948424	186.02477331494234	173.85269582685424	
39	15.677265065149854	22.145797487728633	199.7374329946499	176.53809200799674	
40	18.374063540999046	19.89885393524927	146.29973586637558	179.0081676953633	
41	15.574119971567486	20.4291865540546	175.6001745956479	178.88918883328435	
42	18.648754662978376	22.10943316058028	149.76430759349395	182.40334363984212	
43	16.603545960167082	19.73309720325289	168.63716999639573	195.5065270861067	
44	14.840226586190676	21.218888773665892	209.68715051640606	160.98490169592358	
45	16.09416184092676	23.096189453842566	148.81629821614152	165.41334608497957	
46	18.838559407562094	23.273619258120185	156.5808074564025	147.40344748278167	
47	17.643273719506762	20.82085042702012	240.46970250341678	183.75366978884242	
48	17.057787083982817	21.407698549855102	169.5197420182943	188.0338610840505	
49	17.559208891078686	20.71785617136877	154.340878333143	179.52351851475999	
50	14.46044122835225	22.237182836012515	196.74508936023227	175.53874344975722	
51	17.68421347434999	21.659188480193468	148.68127463468412	190.3269567578956	
52	15.898103098578263	20.548251954159973	208.52483454581804	233.14224100846076	
53	14.31316146064485	22.587335806048117	211.81539356498484	146.1385601525365	
54	17.438776320485122	19.524810752567113	138.7232119119764	259.3748267927344	
55	16.441844509739386	19.803112690133723	189.7459548915755	240.52296047575788	
